Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Lisandro Martínez,ar ARG,DF,25.0,11,8,646.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,8.0,28.0,1.0,0.0,0.14,0.14,0.0,0.14,0.0,0.01,0.01,0.0,0.01,Matches
Mason Mount,eng ENG,"MF,FW",24.0,14,5,516.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.3,0.7,9.0,21.0,34.0,0.17,0.0,0.17,0.17,0.17,0.07,0.06,0.13,0.07,0.13,Matches
Anthony Martial,fr FRA,FW,27.0,13,5,448.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2,1.5,6.0,12.0,36.0,0.2,0.0,0.2,0.2,0.2,0.25,0.05,0.29,0.25,0.29,Matches
Sergio Reguilón,es ESP,DF,26.0,9,4,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.7,0.9,11.0,27.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches
Amad Diallo,ci CIV,"FW,MF",21.0,9,3,390.0,4.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.6,11.0,10.0,31.0,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36,Matches
Willy Kambwala,fr FRA,DF,18.0,8,3,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Facundo Pellistri,uy URU,"FW,MF",21.0,9,1,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,6.0,6.0,31.0,0.0,0.52,0.52,0.0,0.52,0.38,0.05,0.43,0.38,0.43,Matches
Hannibal Mejbri,tn TUN,"MF,FW",20.0,5,1,133.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,2.0,6.0,10.0,0.68,0.0,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27,Matches
Omari Forson,eng ENG,FW,19.0,4,1,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,2.0,2.0,0.0,1.29,1.29,0.0,1.29,0.04,0.23,0.27,0.04,0.27,Matches
Jadon Sancho,eng ENG,"FW,MF",23.0,3,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Ethan Wheatley,eng ENG,FW,17.0,3,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Donny van de Beek,nl NED,DF,26.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.09,4.44,5.54,1.09,5.54,Matches
Daniel Gore,eng ENG,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Harry Amass,eng ENG,DF,16.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Altay Bayındır,tr TUR,GK,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rhys Bennett,eng ENG,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Álvaro Carreras,es ESP,"DF,MF",20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Toby Collyer,eng ENG,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tom Heaton,eng ENG,GK,37.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dean Henderson,eng ENG,GK,26.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joe Hugill,eng ENG,FW,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Louis Jackson,sct SCO,DF,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dermot Mee,nir NIR,GK,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Habeeb Ogunneye,eng ENG,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Radek Vítek,0,GK,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.1,38,418,3420.0,38.0,57.0,36.0,93.0,51.0,6.0,7.0,83.0,1.0,56.5,51.0,40.1,91.0,759.0,1479.0,1467.0,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4,0
Opponent Total,0,0,26.2,38,418,3420.0,38.0,57.0,39.0,96.0,50.0,7.0,7.0,85.0,1.0,68.9,63.4,51.1,114.5,862.0,1578.0,1556.0,1.5,1.03,2.53,1.32,2.34,1.81,1.34,3.16,1.67,3.01,0
