Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Beñat Turrientes,es ESP,MF,21.0,29,19,1687.0,18.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.5,1.8,26.0,51.0,31.0,0.0,0.05,0.05,0.0,0.05,0.06,0.03,0.09,0.06,0.09,Matches
Jon Pacheco,es ESP,DF,22.0,23,16,1526.0,17.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.1,1.1,0.2,1.3,9.0,53.0,1.0,0.06,0.06,0.12,0.06,0.12,0.06,0.01,0.08,0.06,0.08,Matches
Arsen Zakharyan,ru RUS,"MF,FW",20.0,29,15,1228.0,13.6,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.4,2.4,2.1,4.5,28.0,47.0,88.0,0.07,0.15,0.22,0.07,0.22,0.18,0.15,0.33,0.18,0.33,Matches
Kieran Tierney,sct SCO,DF,26.0,20,14,1238.0,13.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,22.0,77.0,39.0,0.0,0.15,0.15,0.0,0.15,0.01,0.05,0.06,0.01,0.06,Matches
Javi Galán,es ESP,DF,28.0,14,13,1075.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.7,0.8,46.0,45.0,70.0,0.0,0.08,0.08,0.0,0.08,0.01,0.06,0.07,0.01,0.07,Matches
Umar Sadiq,ng NGA,FW,26.0,26,12,1077.0,12.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.6,3.6,1.1,4.7,18.0,13.0,74.0,0.25,0.08,0.33,0.25,0.33,0.3,0.09,0.39,0.3,0.39,Matches
Aihen Muñoz,es ESP,DF,25.0,21,11,1127.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.0,2.2,24.0,39.0,23.0,0.0,0.16,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18,Matches
André Silva,pt POR,FW,27.0,19,9,729.0,8.1,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.3,2.5,0.3,2.8,5.0,7.0,44.0,0.37,0.0,0.37,0.25,0.25,0.41,0.04,0.45,0.31,0.35,Matches
Sheraldo Becker,sr SUR,"FW,MF",28.0,15,8,771.0,8.6,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,1.8,3.2,28.0,13.0,87.0,0.23,0.23,0.47,0.23,0.47,0.17,0.21,0.38,0.17,0.38,Matches
Aritz Elustondo,es ESP,DF,29.0,15,7,812.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,4.0,31.0,2.0,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.1,0.03,0.1,Matches
Álvaro Odriozola,es ESP,DF,27.0,9,6,393.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,14.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Jon Aramburu,ve VEN,DF,21.0,11,5,543.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,6.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Carlos Fernández,es ESP,FW,27.0,10,5,408.0,4.5,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.5,0.7,0.5,1.3,5.0,4.0,13.0,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28,Matches
Olasagasti,es ESP,MF,22.0,14,2,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.3,1.2,8.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.21,0.09,0.3,0.21,0.3,Matches
Urko González,es ESP,MF,22.0,5,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",19.0,11,1,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,16.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18,Matches
Unai Marrero,es ESP,GK,21.0,2,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Magunacelaya,es ESP,"FW,MF",23.0,5,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.21,0.34,0.55,0.21,0.55,Matches
Alex Sola,es ESP,"DF,MF",24.0,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Dadie,es ESP,MF,21.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Martin,es ESP,DF,17.0,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gaizka Ayesa,es ESP,GK,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bryan Fiabema,no NOR,FW,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aitor Fraga,es ESP,GK,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jon Karrikaburu,es ESP,FW,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Marín,es ESP,MF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto Navarro,es ESP,MF,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Rico,es ESP,DF,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iñaki Rupérez,es ESP,DF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,25.8,38,418,3420.0,38.0,48.0,36.0,84.0,44.0,4.0,4.0,98.0,2.0,44.9,41.8,30.7,72.5,685.0,1414.0,1402.0,1.26,0.95,2.21,1.16,2.11,1.18,0.81,1.99,1.1,1.91,0
Opponent Total,0,0,27.2,38,418,3420.0,38.0,38.0,24.0,62.0,32.0,6.0,7.0,100.0,6.0,41.3,36.0,24.6,60.5,405.0,941.0,936.0,1.0,0.63,1.63,0.84,1.47,1.09,0.65,1.73,0.95,1.59,0
